% Model:              HY_100_sweep_SiN_Nist.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 7 2024, 21:04
% Table:              Table 2 - Global Evaluation 1
% daddy                                           Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
18                                                1.9235430906700408                                -1.5145335444893247E7i                            1.9235430906700408                                3.7567977192982456E14
18                                                1.9374196806053483                                -1.525459507646628E7i                             1.9374196806053483                                3.7567977192982456E14
18                                                1.9541315221592546                                -1.5386178531738732E7i                            1.9541315221592546                                3.7567977192982456E14
19                                                1.8668357977973074-1.5180256303328257E-14i        -1.1789908944906352E-7-1.449898053848816E7i       1.8668357977973074                                3.705716415327565E14
19                                                1.905978873892514                                 -1.4802989439105237E7i                            1.905978873892514                                 3.705716415327565E14
19                                                1.920309931708881-4.508243188502199E-16i          -3.5013754466241605E-9-1.4914293137384765E7i      1.920309931708881                                 3.705716415327565E14
19                                                1.9344674595235527+3.4218216295770353E-16i        2.657594485382909E-9-1.502424909628604E7i         1.9344674595235527                                3.705716415327565E14
19                                                1.9517734547622445                                -1.515865796527228E7i                             1.9517734547622445                                3.705716415327565E14
20                                                1.862063355410601-2.8761030450233568E-15i         -2.2037912676128317E-8-1.4267913555796837E7i      1.862063355410601                                 3.656005585365853E14
20                                                1.902257639637618-2.2250038621863903E-16i         -1.7048916555252875E-9-1.4575899087611219E7i      1.902257639637618                                 3.656005585365853E14
20                                                1.9170762662715588-2.389903544364752E-16i         -1.831244736040125E-9-1.4689445645097751E7i       1.9170762662715588                                3.656005585365853E14
20                                                1.9315168167993202                                -1.4800095224248502E7i                            1.9315168167993202                                3.656005585365853E14
20                                                1.9494277938613973                                -1.4937336672923714E7i                            1.9494277938613973                                3.656005585365853E14
21                                                1.8572645347906864-2.246823669571419E-15i         -1.6988218373615476E-8-1.4042764424238952E7i      1.8572645347906864                                3.6076108062575206E14
21                                                1.898526166238059+2.9553975436934363E-16i         2.23457405817199E-9-1.4354743336947003E7i         1.898526166238059                                 3.6076108062575206E14
21                                                1.913840261418004                                 -1.4470533105692346E7i                            1.913840261418004                                 3.6076108062575206E14
21                                                1.9285660102371553                                -1.4581874391634233E7i                            1.9285660102371553                                3.6076108062575206E14
21                                                1.9470927486988003                                -1.4721954934224086E7i                            1.9470927486988003                                3.6076108062575206E14
22                                                1.8524390554997765-6.166002582854626E-15i         -4.601203899361468E-8-1.382329911634421E7i        1.8524390554997765                                3.560480498812351E14
22                                                1.894784345700965+2.761192323581672E-16i          2.0604611683878173E-9-1.41392887900026E7i         1.894784345700965                                 3.560480498812351E14
22                                                1.9106017297470517-3.6629242926734034E-16i        -2.7333529806456897E-9-1.4257321515699023E7i      1.9106017297470517                                3.560480498812351E14
