% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 10 2024, 13:50
% Table:              Table 1 - 20240708NEWREDO
% daddy                                           Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
13                                                1.5240448820366048-3.0163920915105496E-16i        -3.398544615075634E-9-1.7171290634120695E7i       1.5240448820366048                                5.375836066945607E14
13                                                1.524140964925529                                 -1.7172373192272447E7i                            1.524140964925529                                 5.375836066945607E14
13                                                1.5283170507696693                                -1.72194248143001E7i                              1.5283170507696693                                5.375836066945607E14
13                                                1.5283409242849908                                -1.7219693795269676E7i                            1.5283409242849908                                5.375836066945607E14
14                                                1.5236172742976823+2.706021215419114E-16i         3.0289369492228534E-9-1.705434027012863E7i        1.5236172742976823                                5.340720748218526E14
14                                                1.5237533646213492-2.9833759903029186E-16i        -3.3393891071372284E-9-1.7055863573077764E7i      1.5237533646213492                                5.340720748218526E14
14                                                1.5238511847117229                                -1.7056958504944596E7i                            1.5238511847117229                                5.340720748218526E14
14                                                1.528079233703831                                 -1.7104284422946822E7i                            1.528079233703831                                 5.340720748218526E14
14                                                1.5281036005107687                                -1.7104557168487202E7i                            1.5281036005107687                                5.340720748218526E14
15                                                1.523323416806044+2.566187899888084E-16i          2.8537759483254597E-9-1.6940395239926267E7i       1.523323416806044                                 5.306061203539823E14
15                                                1.523462298838946-2.844040497776294E-16i          -3.1627669856020753E-9-1.6941939702844072E7i      1.523462298838946                                 5.306061203539823E14
15                                                1.5235618742650185                                -1.6943047049488418E7i                            1.5235618742650185                                5.306061203539823E14
15                                                1.5278421636161832                                -1.6990646786057826E7i                            1.5278421636161832                                5.306061203539823E14
15                                                1.5278670306776712                                -1.6990923324739903E7i                            1.5278670306776712                                5.306061203539823E14
16                                                1.5230295921851305+1.9038210999598683E-16i        2.1035276839565634E-9-1.6827919969549816E7i       1.5230295921851305                                5.271848616647128E14
16                                                1.5231713082753853-2.8970138313255803E-16i        -3.200904116004852E-9-1.6829485787467893E7i       1.5231713082753853                                5.271848616647128E14
16                                                1.5232726569134951                                -1.6830605586308237E7i                            1.5232726569134951                                5.271848616647128E14
16                                                1.5276054621272472                                -1.6878478654405396E7i                            1.5276054621272472                                5.271848616647128E14
16                                                1.527630836538932                                 -1.6878759015713736E7i                            1.527630836538932                                 5.271848616647128E14
17                                                1.5227366294100684                                -1.67168953114971E7i                              1.5227366294100684                                5.2380743972044256E14
17                                                1.5228812152147704-3.254609321478503E-16i         -3.5729726504350816E-9-1.671848260224328E7i       1.5228812152147704                                5.2380743972044256E14
17                                                1.5229843559857916                                -1.671961490144605E7i                             1.5229843559857916                                5.2380743972044256E14
17                                                1.5273699558557141                                -1.6767760859511044E7i                            1.5273699558557141                                5.2380743972044256E14
17                                                1.527395844493863                                 -1.6768045069955144E7i                            1.527395844493863                                 5.2380743972044256E14
18                                                1.522444275267291                                 -1.6607290800970685E7i                            1.522444275267291                                 5.2047301736111106E14
18                                                1.522591774354919-3.407213799463801E-16i          -3.7166936950018197E-9-1.6608899766422434E7i      1.522591774354919                                 5.2047301736111106E14
18                                                1.5226967250305414                                -1.6610044600698559E7i                            1.5226967250305414                                5.2047301736111106E14
18                                                1.5271353914197852                                -1.6658462940004753E7i                            1.5271353914197852                                5.2047301736111106E14
18                                                1.5271618015015043                                -1.6658751029305829E7i                            1.5271618015015043                                5.2047301736111106E14
19                                                1.5221519532596663                                -1.6499073239820316E7i                            1.5221519532596663                                5.171807786083957E14
19                                                1.5223024056816172-3.916035772808048E-16i         -4.2447116325642065E-9-1.6500704039901452E7i      1.5223024056816172                                5.171807786083957E14
19                                                1.5224091847280967                                -1.6501861450831793E7i                            1.5224091847280967                                5.171807786083957E14
19                                                1.5269011935269257                                -1.6550551715957481E7i                            1.5269011935269257                                5.171807786083957E14
19                                                1.5269281321805546                                -1.6550843712310575E7i                            1.5269281321805546                                5.171807786083957E14
20                                                1.5218611794193948                                -1.6392232803591317E7i                            1.5218611794193948                                5.1392992799999994E14
20                                                1.5220146224165343-4.1035975082465317E-16i        -4.4200566120674334E-9-1.639388556493723E7i       1.5220146224165343                                5.1392992799999994E14
20                                                1.5221232486488125                                -1.6395055597074302E7i                            1.5221232486488125                                5.1392992799999994E14
20                                                1.5266688737403804                                -1.6444017319566792E7i                            1.5266688737403804                                5.1392992799999994E14
20                                                1.5266963480150224                                -1.6444313249781802E7i                            1.5266963480150224                                5.1392992799999994E14
21                                                1.5215706364427262                                -1.6286729585575515E7i                            1.5215706364427262                                5.107196899488926E14
21                                                1.5217271159954164-3.688217061907739E-16i         -3.947828152141016E-9-1.6288404525995173E7i       1.5217271159954164                                5.107196899488926E14
21                                                1.5218376070595039                                -1.6289587210544487E7i                            1.5218376070595039                                5.107196899488926E14
21                                                1.5264371174486289                                -1.6338819878512409E7i                            1.5264371174486289                                5.107196899488926E14
21                                                1.5264651347752998                                -1.6339119772984786E7i                            1.5264651347752998                                5.107196899488926E14
22                                                1.5212801348952958+1.993064165476728E-16i         2.1201114245128982E-9-1.618253666762692E7i        1.5212801348952958                                5.075493081264108E14
22                                                1.521439692821153-3.4754338759864016E-16i         -3.696974333917374E-9-1.6184233956592027E7i       1.521439692821153                                 5.075493081264108E14
22                                                1.5215520671187397                                -1.6185429332216464E7i                            1.5215520671187397                                5.075493081264108E14
22                                                1.526205735454998                                 -1.6234932482072331E7i                            1.526205735454998                                 5.075493081264108E14
22                                                1.5262343031481562                                -1.6235236369391594E7i                            1.5262343031481562                                5.075493081264108E14
23                                                1.520991268268885+2.340248939608722E-16i          2.4740691675533583E-9-1.6079646644647507E7i       1.520991268268885                                 5.044180448681996E14
23                                                1.5211539438686572-3.2741861412263837E-16i        -3.4614108113614082E-9-1.6081366421885295E7i      1.5211539438686572                                5.044180448681996E14
23                                                1.521268220083638                                 -1.6082574529515572E7i                            1.521268220083638                                 5.044180448681996E14
23                                                1.52597631640764                                  -1.6132347678670516E7i                            1.52597631640764                                  5.044180448681996E14
23                                                1.526005441712074                                 -1.613265558616051E7i                             1.526005441712074                                 5.044180448681996E14
24                                                1.5207028309085158+2.760552710315675E-16i         2.900512412901376E-9-1.59780228825264E7i          1.5207028309085158                                5.013251806020067E14
24                                                1.5208686663142572-2.7963684390164566E-16i        -2.938143994897811E-9-1.5979765314942395E7i       1.5208686663142572                                5.013251806020067E14
24                                                1.5209848628899643                                -1.5980986192228727E7i                            1.5209848628899643                                5.013251806020067E14
24                                                1.5257476573818014                                -1.6031028868436465E7i                            1.5257476573818014                                5.013251806020067E14
24                                                1.5257773476994856                                -1.6031340824569974E7i                            1.5257773476994856                                5.013251806020067E14
25                                                1.5204158586641965+2.1533215906271343E-16i        2.248706689173571E-9-1.5877653048135811E7i        1.5204158586641965                                4.982700132963989E14
25                                                1.5205848976857084-3.002433926662287E-16i         -3.1354319225122423E-9-1.5879418317104736E7i      1.5205848976857084                                4.982700132963989E14
25                                                1.5207030327357285                                -1.5880651997565484E7i                            1.5207030327357285                                4.982700132963989E14
25                                                1.5255207906810482                                -1.5930963686101075E7i                            1.5255207906810482                                4.982700132963989E14
25                                                1.5255510535084447                                -1.5931279719817061E7i                            1.5255510535084447                                4.982700132963989E14
26                                                1.5201289278382153                                -1.577849957777268E7i                             1.5201289278382153                                4.952518579295153E14
26                                                1.5203012136086465-3.4612322314199074E-16i        -3.5926591686994447E-9-1.57802878543499E7i        1.5203012136086465                                4.952518579295153E14
26                                                1.5204213055962026                                -1.578153437452345E7i                             1.5204213055962026                                4.952518579295153E14
26                                                1.5252942962106577                                -1.583211461080776E7i                             1.5252942962106577                                4.952518579295153E14
26                                                1.5253251390702955                                -1.5832434750789877E7i                            1.5253251390702955                                4.952518579295153E14
27                                                1.5198434103694145                                -1.56805546555777E7i                              1.5198434103694145                                4.922700459770115E14
27                                                1.5200189824294512-3.7273831804208907E-16i        -3.845622205820831E-9-1.5682366070664687E7i       1.5200189824294512                                4.922700459770115E14
27                                                1.5201410502875725                                -1.5683625471276553E7i                            1.5201410502875725                                4.922700459770115E14
27                                                1.5250695415623798                                -1.5734473786489084E7i                            1.5250695415623798                                4.922700459770115E14
27                                                1.5251009718665227                                -1.573479805976526E7i                             1.5251009718665227                                4.922700459770115E14
28                                                1.5195582710156899                                -1.5583785966021216E7i                            1.5195582710156899                                4.8932392491838956E14
28                                                1.5197371788459555-4.559022941636227E-16i         -4.675492812075636E-9-1.5585620750107937E7i       1.5197371788459555                                4.8932392491838956E14
28                                                1.5198612401039575                                -1.5586893056756688E7i                            1.5198612401039575                                4.8932392491838956E14
28                                                1.5248454935847022                                -1.5638008924391301E7i                            1.5248454935847022                                4.8932392491838956E14
28                                                1.524877519174482                                 -1.5638337361902442E7i                            1.524877519174482                                 4.8932392491838956E14
29                                                1.5192741815706599-1.9637658263140716E-16i        -2.0019531508877152E-9-1.5488179364881651E7i      1.5192741815706599                                4.864128577609518E14
29                                                1.5194564679546405-5.139444797924343E-16i         -5.2393862695584834E-9-1.5490037676070716E7i      1.5194564679546405                                4.864128577609518E14
29                                                1.5195825411936104                                -1.5491322924620295E7i                            1.5195825411936104                                4.864128577609518E14
29                                                1.5246228218453681                                -1.554270586242752E7i                             1.5246228218453681                                4.864128577609518E14
29                                                1.5246554503389267                                -1.5543038492289048E7i                            1.5246554503389267                                4.864128577609518E14
30                                                1.5189915908280376-1.7037066422560998E-16i        -1.7265652487689988E-9-1.5393718782613017E7i      1.5189915908280376                                4.835362225806452E14
30                                                1.519177296247281-4.554190688785735E-16i          -4.6152941970762265E-9-1.5395600752873749E7i      1.519177296247281                                 4.835362225806452E14
30                                                1.5193054004203943                                -1.539689898232261E7i                             1.5193054004203943                                4.835362225806452E14
30                                                1.5244019733212422                                -1.5448548517754186E7i                            1.5244019733212422                                4.835362225806452E14
30                                                1.5244352122830342                                -1.5448885367038634E7i                            1.5244352122830342                                4.835362225806452E14
31                                                1.5187092997116753                                -1.530037192596269E7i                             1.5187092997116753                                4.806934120791021E14
31                                                1.5188984737799707-2.477072097200967E-16i         -2.495548317363598E-9-1.5302277776940368E7i       1.5188984737799707                                4.806934120791021E14
31                                                1.5190286265849238                                -1.5303589012950689E7i                            1.5190286265849238                                4.806934120791021E14
31                                                1.5241817516516243                                -1.5355504629794866E7i                            1.5241817516516243                                4.806934120791021E14
31                                                1.524215609046961                                 -1.535584572913573E7i                             1.524215609046961                                 4.806934120791021E14
32                                                1.5184288980159042                                -1.5208135189177075E7i                            1.5184288980159042                                4.7788383315621675E14
32                                                1.5186215784348671                                -1.5210065019321723E7i                            1.5186215784348671                                4.7788383315621675E14
32                                                1.5187537993382814                                -1.5211389304822734E7i                            1.5187537993382814                                4.7788383315621675E14
32                                                1.5239637417123486                                -1.5263570548248863E7i                            1.5239637417123486                                4.7788383315621675E14
32                                                1.5239982250726904                                -1.5263915923397176E7i                            1.5239982250726904                                4.7788383315621675E14
33                                                1.5181484077017235                                -1.5116969523596752E7i                            1.5181484077017235                                4.7510690649762275E14
33                                                1.5183446456195955                                -1.5118923563536981E7i                            1.5183446456195955                                4.7510690649762275E14
33                                                1.5184789522403037                                -1.5120260922310185E7i                            1.5184789522403037                                4.7510690649762275E14
33                                                1.5237459704829055                                -1.517270727989269E7i                             1.5237459704829055                                4.7510690649762275E14
33                                                1.5237810879148188                                -1.5173056961877199E7i                            1.5237810879148188                                4.7510690649762275E14
34                                                1.517869190786613-1.7096420628810418E-16i         -1.6925416843535232E-9-1.5026869849429121E7i      1.517869190786613                                 4.723620661764706E14
34                                                1.5180690273115027-2.0531023783002446E-16i        -2.0325666014923677E-9-1.5028848226399222E7i      1.5180690273115027                                4.723620661764706E14
34                                                1.5182054387645958                                -1.5030198696626857E7i                            1.5182054387645958                                4.723620661764706E14
34                                                1.5235297956413065                                -1.5082909706445023E7i                            1.5235297956413065                                4.723620661764706E14
34                                                1.5235655548907436                                -1.5083263722186608E7i                            1.5235655548907436                                4.723620661764706E14
35                                                1.5175915967392544-1.75385524223033E-16i          -1.7263390322038905E-9-1.4937821236968078E7i      1.5175915967392544                                4.6964875926892944E14
35                                                1.5177950788456895-2.3428670225977574E-16i        -2.3061098151010667E-9-1.4939824133753603E7i      1.5177950788456895                                4.6964875926892944E14
35                                                1.517933613296005                                 -1.4941187743606493E7i                            1.517933613296005                                 4.6964875926892944E14
35                                                1.5233155647099503                                -1.4994162884151747E7i                            1.5233155647099503                                4.6964875926892944E14
35                                                1.5233519737837875                                -1.4994521262675688E7i                            1.5233519737837875                                4.6964875926892944E14
36                                                1.5173148845024358-3.054035791919514E-16i         -2.988952151929792E-9-1.4849798424720554E7i       1.5173148845024358                                4.66966445482866E14
36                                                1.5175220576669664-2.97094311653371E-16i          -2.907630239606065E-9-1.4851826006314665E7i       1.5175220576669664                                4.66966445482866E14
36                                                1.5176627336822526                                -1.4853202787424197E7i                            1.5176627336822526                                4.66966445482866E14
36                                                1.5231025384918049                                -1.4906441575046167E7i                            1.5231025384918049                                4.66966445482866E14
36                                                1.5231396053854367                                -1.4906804344768051E7i                            1.5231396053854367                                4.66966445482866E14
37                                                1.5170383154342-3.9615721936189605E-16i           -3.855130438865956E-9-1.4762776748525508E7i       1.5170383154342                                   4.6431459679917394E14
37                                                1.5172492327004201-3.3694312794862035E-16i        -3.278899500591486E-9-1.4764829250747725E7i       1.5172492327004201                                4.6431459679917394E14
37                                                1.5173920677763788                                -1.4766219223773971E7i                            1.5173920677763788                                4.6431459679917394E14
37                                                1.522889979902773                                 -1.4819721135017222E7i                            1.522889979902773                                 4.6431459679917394E14
37                                                1.5229277129505607                                -1.4820088327167125E7i                            1.5229277129505607                                4.6431459679917394E14
38                                                1.5167638164208623-4.2754419120877657E-16i        -4.137072967720171E-9-1.4676757893938188E7i       1.5167638164208623                                4.616926971252566E14
38                                                1.5169785149695265-3.4840125784728726E-16i        -3.3712571832273536E-9-1.4678835395118536E7i      1.5169785149695265                                4.616926971252566E14
38                                                1.5171235289581426                                -1.4680238603171833E7i                            1.5171235289581426                                4.616926971252566E14
38                                                1.5226798096714889                                -1.473400319455889E7i                             1.5226798096714889                                4.616926971252566E14
38                                                1.5227182166132927                                -1.4734374834085228E7i                            1.5227182166132927                                4.616926971252566E14
39                                                1.5164900545324385-4.7913835936725105E-16i        -4.610283460463161E-9-1.4591712142606717E7i       1.5164900545324385                                4.5910024196018375E14
39                                                1.5167085877125224-3.155751603853768E-16i         -3.0364735238043504E-9-1.459381487532683E7i       1.5167085877125224                                4.5910024196018375E14
39                                                1.5168557980714878                                -1.459523133775335E7i                             1.5168557980714878                                4.5910024196018375E14
39                                                1.5224706979699796                                -1.4649258070591768E7i                            1.5224706979699796                                4.5910024196018375E14
39                                                1.522509787223264                                 -1.4649634188542617E7i                            1.522509787223264                                 4.5910024196018375E14
40                                                1.5162173677609474-5.873490840633449E-16i         -5.619933708384055E-9-1.4507626427826535E7i       1.5162173677609474                                4.56536738071066E14
40                                                1.5164397784399102-3.620632466148635E-16i         -3.464330667106979E-9-1.450975452048169E7i        1.5164397784399102                                4.56536738071066E14
40                                                1.5165892043421412                                -1.451118427271531E7i                             1.5165892043421412                                4.56536738071066E14
40                                                1.5222629815792472                                -1.4565472689627586E7i                            1.5222629815792472                                4.56536738071066E14
40                                                1.5223027611908921                                -1.4565853312985068E7i                            1.5223027611908921                                4.56536738071066E14
41                                                1.5159448038996564-6.076287385886343E-16i         -5.781692017950789E-9-1.4424475696654553E7i       1.5159448038996564                                4.5400170318021194E14
41                                                1.5161711469841077-2.8590570473602774E-16i        -2.720441983699496E-9-1.4426629390055774E7i       1.5161711469841077                                4.5400170318021194E14
41                                                1.5163228058253264                                -1.4428072450029802E7i                            1.5163228058253264                                4.5400170318021194E14
41                                                1.5220557104577401                                -1.448262202421533E7i                             1.5220557104577401                                4.5400170318021194E14
