% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 29 2024, 15:11
% Table:              Table 1 - Eval_German
% daddy                                           Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
29                                                1.436824766821376-4.562596849037348E-13i          1.436824766821376                                 437.6000000000001                                 2.0630338811434653E7
29                                                1.448346947142805                                 1.448346947142805                                 437.6000000000001                                 2.0795777554812796E7
29                                                1.4501697853115567-2.6301787524808075E-16i        1.4501697853115567                                437.6000000000001                                 2.0821950383878764E7
30                                                1.4194490425267623-2.5734519954189903E-7i         1.4194490425267623                                441.99999999999994                                2.0177966896593403E7
30                                                1.4344129398073522-4.234829243339174E-15i         1.4344129398073522                                441.99999999999994                                2.0390683954357084E7
30                                                1.4360788609131363-5.240396866617415E-13i         1.4360788609131363                                441.99999999999994                                2.041436560823668E7
30                                                1.447800915172818                                 1.447800915172818                                 441.99999999999994                                2.0580998728359744E7
30                                                1.4496745216022888-2.5945731046558203E-16i        1.4496745216022888                                441.99999999999994                                2.0607632702090714E7
31                                                1.4184672746899145-2.899887681849226E-7i          1.4184672746899145                                446.40000000000003                                1.996526151220148E7
31                                                1.4336077214868794-4.700787125701667E-15i         1.4336077214868794                                446.40000000000003                                2.017836687254831E7
31                                                1.4353223929209378-6.013596457262527E-13i         1.4353223929209378                                446.40000000000003                                2.0202501277479123E7
31                                                1.44724542024896                                  1.44724542024896                                  446.40000000000003                                2.03703206998011E7
31                                                1.4491706383581888-2.886384943298072E-16i         1.4491706383581888                                446.40000000000003                                2.039741859885357E7
32                                                1.4174769306143613-3.2600000779968376E-7i         1.4174769306143613                                450.8                                             1.9756588783722654E7
32                                                1.432791408982389-5.284711934140928E-15i          1.432791408982389                                 450.8                                             1.9970039771897256E7
32                                                1.4345557593658158-6.896735102569453E-13i         1.4345557593658158                                450.8                                             1.999463103277983E7
32                                                1.4466808408812661                                1.4466808408812661                                450.8                                             2.0163628668153018E7
32                                                1.4486585174781572-3.583213146812468E-16i         1.4486585174781572                                450.8                                             2.0191193238995828E7
33                                                1.4164785096893788-3.6561631309574446E-7i         1.4164785096893788                                455.19999999999993                                1.9551838664358396E7
33                                                1.431964415833676-6.06218153224937E-15i           1.431964415833676                                 455.19999999999993                                1.976559265810666E7
33                                                1.4337793822071792-7.904628371216887E-13i         1.4337793822071792                                455.19999999999993                                1.9790644877023663E7
33                                                1.446107580785499                                 1.446107580785499                                 455.19999999999993                                1.9960812619051985E7
33                                                1.4481385659548967-3.893644057648711E-16i         1.4481385659548967                                455.19999999999993                                1.998884657374324E7
34                                                1.4154725229554974-4.090787528436647E-7i          1.4154725229554974                                459.6                                             1.9350905480744995E7
34                                                1.431127170442553-6.810846363781715E-15i          1.431127170442553                                 459.6                                             1.9564919952197876E7
34                                                1.4329936982348621-9.054521023956623E-13i         1.4329936982348621                                459.6                                             1.9590437228090126E7
34                                                1.445526058322555                                 1.445526058322555                                 459.6                                             1.9761766951256525E7
34                                                1.4476112053198797-4.0755988169341327E-16i        1.4476112053198797                                459.6                                             1.979027296730722E7
35                                                1.4144594845597296-4.566309327558056E-7i          1.4144594845597296                                464                                               1.9153687609884705E7
35                                                1.430280107667648-7.699647173181536E-15i          1.430280107667648                                 464                                               1.9367920167346124E7
35                                                1.432199150669712-1.0364178697503547E-12i         1.432199150669712                                 464                                               1.9393906595782362E7
35                                                1.444936698138964                                 1.444936698138964                                 464                                               1.9566390154205438E7
35                                                1.4470768632893027-5.017972009756492E-16i         1.4470768632893027                                464                                               1.9595370874523424E7
36                                                1.4134399050486925-5.08517870448969E-7i           1.4134399050486925                                468.4                                             1.8960087198939484E7
36                                                1.4294236622269332-8.808399292177102E-15i         1.4294236622269332                                468.4                                             1.9174495628179125E7
36                                                1.4313961825712853-1.185680253544442E-12i         1.4313961825712853                                468.4                                             1.920095530120591E7
36                                                1.4443399246079731                                1.4443399246079731                                468.4                                             1.9374584527902834E7
36                                                1.4465359672100417-5.774215613835487E-16i         1.4465359672100417                                468.4                                             1.940404256080475E7
37                                                1.4124142861719662-5.649849145223417E-7i          1.4124142861719662                                472.8                                             1.877000992074078E7
37                                                1.4285582635786116-9.847078588646495E-15i         1.4285582635786116                                472.8                                             1.8984552225395758E7
37                                                1.4305852317228351-1.3555440814468975E-12i        1.4305852317228351                                472.8                                             1.901148923144886E7
37                                                1.4437361567420988                                1.4437361567420988                                472.8                                             1.9186255937998895E7
37                                                1.4459889389759335-6.266863649437642E-16i         1.4459889389759335                                472.8                                             1.9216193857271116E7
38                                                1.4113831169162363-6.262766755165715E-7i          1.4113831169162363                                477.2                                             1.8583364759030644E7
38                                                1.4276843320038934-1.1203297376847423E-14i        1.4276843320038934                                477.2                                             1.879799919978492E7
38                                                1.429766726717814-1.5487973535472505E-12i         1.429766726717814                                 477.2                                             1.882541762365385E7
38                                                1.443125804302583                                 1.443125804302583                                 477.2                                             1.9001313600179613E7
38                                                1.4454361911406652-7.911453743097007E-16i         1.4454361911406652                                477.2                                             1.9031733945181582E7
39                                                1.41034687054343-6.926360757185068E-7i            1.41034687054343                                  481.6                                             1.8400063818573896E7
39                                                1.42680227566617-1.2750163085457576E-14i          1.42680227566617                                  481.6                                             1.8614748950822413E7
39                                                1.4289410840225785-1.7684249944148386E-12i        1.4289410840225785                                481.6                                             1.864265287366265E7
39                                                1.442509264881199                                 1.442509264881199                                 481.6                                             1.8819669889061406E7
39                                                1.4448781240029265-8.585656779020529E-16i         1.4448781240029265                                481.6                                             1.885057516486792E7
40                                                1.4093060024502215-7.64303504013736E-7i           1.4093060024502215                                485.99999999999994                                1.8220022156204175E7
40                                                1.4259124884636163-1.4348990238633054E-14i        1.4259124884636163                                485.99999999999994                                1.8434716865922786E7
40                                                1.4281087058319057-2.0179723676851214E-12i        1.4281087058319057                                485.99999999999994                                1.846311036530511E7
40                                                1.4418869217713621                                1.4418869217713621                                485.99999999999994                                1.864124016767124E7
40                                                1.444315123480222-9.567626639565917E-16i          1.444315123480222                                 485.99999999999994                                1.867263284524321E7
41                                                1.4082609486953281-8.415160683229961E-7i          1.4082609486953281                                490.3999999999999                                 1.804315762952135E7
41                                                1.4250153485230999-1.6289015019338206E-14i        1.4250153485230999                                490.3999999999999                                 1.8257821167099793E7
41                                                1.4272699785651803-2.3013297761343378E-12i        1.4272699785651803                                490.3999999999999                                 1.828670831708659E7
41                                                1.4412591424768864                                1.4412591424768864                                490.3999999999999                                 1.8465942634276144E7
41                                                1.443747559619644-1.0720470870452265E-15i         1.443747559619644                                 490.3999999999999                                 1.8497825150649533E7
42                                                1.4072121250605218-9.24506975808341E-7i           1.4072121250605218                                494.79999999999995                                1.786939076043903E7
42                                                1.4241112172062405-1.8604404489324737E-14i        1.4241112172062405                                494.79999999999995                                1.8083982772311814E7
42                                                1.4264252718748924-2.622969982527509E-12i         1.4264252718748924                                494.79999999999995                                1.8113367643560976E7
42                                                1.440626277730885                                 1.440626277730885                                 494.79999999999995                                1.8293698183863204E7
42                                                1.4431757856191223-1.2274482291479957E-15i        1.4431757856191223                                494.79999999999995                                1.8326072942359388E7
43                                                1.4061599265447227-1.0135050457952622E-6i         1.4061599265447227                                499.20000000000005                                1.769864461139929E7
43                                                1.4232004385272443-2.1178628098653098E-14i        1.4232004385272443                                499.20000000000005                                1.7913125169322763E7
43                                                1.4255749380665674-2.9877186882336044E-12i        1.4255749380665674                                499.20000000000005                                1.7943011829213347E7
43                                                1.4399886609240016                                1.4399886609240016                                499.20000000000005                                1.812443028209714E7
43                                                1.4426001372576682-1.3258850369193783E-15i        1.4426001372576682                                499.20000000000005                                1.8157299652549345E7
44                                                1.4051047272073351-1.1087343593811783E-6i         1.4051047272073351                                503.59999999999997                                1.753084467243389E7
44                                                1.422283338899763-2.411309497696983E-14i          1.422283338899763                                 503.59999999999997                                1.774517430028061E7
44                                                1.4247193118470205-3.4010259494211906E-12i        1.4247193118470205                                503.59999999999997                                1.7775566813050456E7
44                                                1.4393466078589703                                1.4393466078589703                                503.59999999999997                                1.795806484995683E7
44                                                1.442020932651128-1.5645751564559122E-15i         1.442020932651128                                 503.59999999999997                                1.799143116894156E7
45                                                1.4040468802808779-1.210414037643111E-6i          1.4040468802808779                                508                                               1.7365918757425483E7
45                                                1.42136022713886-2.728856703060264E-14i           1.42136022713886                                  508                                               1.7580058455449454E7
45                                                1.4238587103279499-3.8692834561659434E-12i        1.4238587103279499                                508                                               1.7610960882346943E7
45                                                1.4387004167592872                                1.4387004167592872                                508                                               1.779453015751004E7
45                                                1.4414384722624622-1.7622841159981654E-15i        1.4414384722624622                                508                                               1.782839572858837E7
46                                                1.4029867184968383-1.3187581509605447E-6i         1.4029867184968383                                512.4                                             1.720379690832833E7
46                                                1.4204313946632396-3.128922646083454E-14i         1.4204313946632396                                512.4                                             1.741770817487251E7
46                                                1.4229934332296577-4.399239167268437E-12i         1.4229934332296577                                512.4                                             1.74491245743201E7
46                                                1.4380503684768013                                1.4380503684768013                                512.4                                             1.7633756725600366E7
46                                                1.4408530391108292-1.94093969617326E-15i          1.4408530391108292                                512.4                                             1.7668123819567163E7
47                                                1.4019245545794634-1.4339757456356313E-6i         1.4019245545794634                                516.8                                             1.7044411306323472E7
47                                                1.4194971158534515-3.564681943403876E-14i         1.4194971158534515                                516.8                                             1.725805615695473E7
47                                                1.4221237632401829-4.998883183417056E-12i         1.4221237632401829                                516.8                                             1.728999058471683E7
47                                                1.4373967268534418                                1.4373967268534418                                516.8                                             1.747567723443029E7
47                                                1.4402648991341582-2.163348492080912E-15i         1.4402648991341582                                516.8                                             1.7510548089563143E7
48                                                1.4008606818618659-1.5562709768228446E-6i         1.4008606818618659                                521.2                                             1.6887696188948676E7
48                                                1.418557648525299-4.0674747709918915E-14i         1.418557648525299                                 521.2                                             1.7101037173064813E7
48                                                1.4212499664896865-5.6767451544744906E-12i        1.4212499664896865                                521.2                                             1.713349368242033E7
48                                                1.4367397391974281                                1.4367397391974281                                521.2                                             1.732022643815485E7
48                                                1.4396743016663374-2.455127405236088E-15i         1.4396743016663374                                521.2                                             1.7355603260464236E7
49                                                1.3997953749912788-1.6858433418997764E-6i         1.3997953749912788                                525.6                                             1.6733587772456508E7
49                                                1.4176132344877133-4.6353201902208357E-14i        1.4176132344877133                                525.6                                             1.6946587987436317E7
49                                                1.4203722931093534-6.442947578884327E-12i         1.4203722931093534                                525.6                                             1.6979570629356287E7
49                                                1.4360796368433646                                1.4360796368433646                                525.6                                             1.7167341084767926E7
49                                                1.4390814799984097-2.7941908219048534E-15i        1.4390814799984097                                525.6                                             1.7203226048250113E7
50                                                1.3987288906993995-1.822887990845233E-6i          1.3987288906993995                                530                                               1.658202417881145E7
50                                                1.4166641001619744-5.291275588590256E-14i         1.4166641001619744                                530                                               1.679464728178586E7
50                                                1.419490977851344-7.307924032930109E-12i          1.419490977851344                                 530                                               1.6828160105112355E7
50                                                1.435416635772658                                 1.435416635772658                                 530                                               1.701695984069418E7
50                                                1.438486651999777-3.1243334759656156E-15i         1.438486651999777                                 530                                               1.705335508758293E7
51                                                1.3976614686157138-1.9675961089210686E-6i         1.3976614686157138                                534.4                                             1.6432945366798831E7
51                                                1.415710457242232-6.042347197428978E-14i          1.415710457242232                                 534.4                                             1.664515558414088E7
51                                                1.4186062407497457-8.28437814881156E-12i          1.4186062407497457                                534.4                                             1.6679202635763602E7
51                                                1.4347509372743161                                1.4347509372743161                                534.4                                             1.6869023219581068E7
51                                                1.4378900207794343-3.511742354402497E-15i         1.4378900207794343                                534.4                                             1.690593086059411E7
52                                                1.3965933321008253-2.1201553507393417E-6i         1.3965933321008253                                538.8                                             1.6286293066742547E7
52                                                1.4147525033783723-6.910505407139787E-14i         1.4147525033783723                                538.8                                             1.6498055201415228E7
