% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 29 2024, 16:29
% Table:              Table 1 - Global Evaluation 1
% daddy                                           Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
17                                                1.4571136215191947                                1.4571136215191947                                384.8                                             2.379239838259002E7
18                                                1.4317218052225658-5.041834385671483E-8i          1.4317218052225658                                389.2                                             2.3113497971590586E7
18                                                1.4444051405099512-9.643976573564897E-16i         1.4444051405099512                                389.2                                             2.3318255797705006E7
18                                                1.4455545735459376-9.357066414219866E-14i         1.4455545735459376                                389.2                                             2.33368120689365E7
18                                                1.4549501330217227                                1.4549501330217227                                389.2                                             2.3488492544915393E7
18                                                1.456268514354357                                 1.456268514354357                                 389.2                                             2.3509776291622657E7
19                                                1.430424967837127-5.872098413414567E-8i           1.430424967837127                                 393.59999999999997                                2.2834413467827916E7
19                                                1.4433077659837628-1.1653474821612008E-15i        1.4433077659837628                                393.59999999999997                                2.304006643538458E7
19                                                1.444495735173224-1.089459961003118E-13i          1.444495735173224                                 393.59999999999997                                2.3059030435782455E7
19                                                1.4540797764933417                                1.4540797764933417                                393.59999999999997                                2.321202410348054E7
19                                                1.4554401003541655                                1.4554401003541655                                393.59999999999997                                2.323373946652763E7
20                                                1.4291419364208922-6.821776239034615E-8i          1.4291419364208922                                398                                               2.2561717630135503E7
20                                                1.4422227049176366-1.2940961092928495E-15i        1.4422227049176366                                398                                               2.2768222384973098E7
20                                                1.4434500340458023-1.2667957978838292E-13i        1.4434500340458023                                398                                               2.278759810443331E7
20                                                1.4532237796741776                                1.4532237796741776                                398                                               2.2941895227368783E7
20                                                1.4546268386142385                                1.4546268386142385                                398                                               2.2964045175402194E7
21                                                1.4278721708967685-7.904814628965669E-8i          1.4278721708967685                                402.4                                             2.2295192457030803E7
21                                                1.4411493147778125-1.4235650660525928E-15i        1.4411493147778125                                402.4                                             2.2502505467355568E7
21                                                1.442416835746801-1.471685869517463E-13i          1.442416835746801                                 402.4                                             2.2522296891632132E7
21                                                1.4523814902194416                                1.4523814902194416                                402.4                                             2.2677887772779293E7
21                                                1.4538280809672937                                1.4538280809672937                                402.4                                             2.2700475242293224E7
22                                                1.4266153264538761-9.136216739139289E-8i          1.4266153264538761                                406.79999999999995                                2.203463239472026E7
22                                                1.4400871495087408-1.6712917080326774E-15i        1.4400871495087408                                406.79999999999995                                2.224270997751094E7
22                                                1.4413957022249546-1.7077622298494597E-13i        1.4413957022249546                                406.79999999999995                                2.2262921086655937E7
22                                                1.4515524514751326                                1.4515524514751326                                406.79999999999995                                2.241979605631529E7
22                                                1.4530433747831655                                1.4530433747831655                                406.79999999999995                                2.2442823950669184E7
23                                                1.4253702619595816-1.0532152539802374E-7i         1.4253702619595816                                411.19999999999993                                2.1779828519540757E7
23                                                1.4390349674351404-1.8208766132955835E-15i        1.4390349674351404                                411.19999999999993                                2.1988626857748363E7
23                                                1.4403854003823242-1.9794601874680874E-13i        1.4403854003823242                                411.19999999999993                                2.2009261635112364E7
23                                                1.4507354154458143                                1.4507354154458143                                411.19999999999993                                2.216741110635752E7
23                                                1.452271476408533                                 1.452271476408533                                 411.19999999999993                                2.219088230205763E7
24                                                1.4241364869171897-1.21098018929997E-7i           1.4241364869171897                                415.59999999999997                                2.1530590591954857E7
24                                                1.4379921791383286-2.0017234426988133E-15i        1.4379921791383286                                415.59999999999997                                2.174006576468022E7
24                                                1.4393853489749742-2.2923751638910947E-13i        1.4393853489749742                                415.59999999999997                                2.176112819068604E7
24                                                1.4499297833590614                                1.4499297833590614                                415.59999999999997                                2.192054261608213E7
24                                                1.451511791048799                                 1.451511791048799                                 415.59999999999997                                2.1944459958411302E7
25                                                1.4229138255318707-1.3887329717265924E-7i         1.4229138255318707                                419.99999999999994                                2.128674105229654E7
25                                                1.436958512031873-2.2995955494512776E-15i         1.436958512031873                                 419.99999999999994                                2.149684907101263E7
25                                                1.4383952833811524-2.6526294494286286E-13i        1.4383952833811524                                419.99999999999994                                2.1518343120135415E7
25                                                1.4491352717876433                                1.4491352717876433                                419.99999999999994                                2.1679012970980518E7
25                                                1.450764039038721                                 1.450764039038721                                 419.99999999999994                                2.1703379272077627E7
26                                                1.4217014099049832-1.5883999943693118E-7i         1.4217014099049832                                424.3999999999999                                 2.1048099457849886E7
26                                                1.4359330024099741-2.6638031753662636E-15i        1.4359330024099741                                424.3999999999999                                 2.125879628378091E7
26                                                1.4374142483905967-3.0665104403269953E-13i        1.4374142483905967                                424.3999999999999                                 2.1280725932654064E7
26                                                1.4483509100221503                                1.4483509100221503                                424.3999999999999                                 2.1442641747152112E7
26                                                1.450027253705948-1.7888490799438402E-16i         1.450027253705948                                 424.3999999999999                                 2.146745979145895E7
27                                                1.4204985750186605-1.812000765144077E-7i          1.4204985750186605                                428.79999999999995                                2.081449574493187E7
27                                                1.4349148914734753-2.956728560219953E-15i         1.4349148914734753                                428.79999999999995                                2.1025737320800673E7
27                                                1.436441493597134-3.541635460857369E-13i          1.436441493597134                                 428.79999999999995                                2.1048106546624556E7
27                                                1.4475759314463417                                1.4475759314463417                                428.79999999999995                                2.121125891672215E7
27                                                1.4493006723151076-1.9600817523107808E-16i        1.4493006723151076                                428.79999999999995                                2.1236531459831573E7
28                                                1.4193052056499333-2.0616309938414064E-7i         1.4193052056499333                                433.2                                             2.058577473347913E7
28                                                1.433903973505267-3.440707562508956E-15i          1.433903973505267                                 433.2                                             2.0797517031936098E7
28                                                1.4354768212781124-4.0869184942233956E-13i        1.4354768212781124                                433.2                                             2.0820329806674723E7
28                                                1.4468101197087913                                1.4468101197087913                                433.2                                             2.098470934079643E7
28                                                1.4485840820604465-2.2048252655225095E-16i        1.4485840820604465                                433.2                                             2.101043910576275E7
29                                                1.4181209374761456-2.3394685542714395E-7i         1.4181209374761456                                437.6000000000001                                 2.036178390802984E7
29                                                1.432899795840457-3.879424230442637E-15i          1.432899795840457                                 437.6000000000001                                 2.057398296134686E7
29                                                1.4345197869694621-4.711401440652838E-13i         1.4345197869694621                                437.6000000000001                                 2.059724325490154E7
29                                                1.446053012983297                                 1.446053012983297                                 437.6000000000001                                 2.0762840595473997E7
29                                                1.4478770247198043-2.5970180676934927E-16i        1.4478770247198043                                437.6000000000001                                 2.0789030274959706E7
30                                                1.416944959338771-2.6477734848883275E-7i          1.416944959338771                                 441.99999999999994                                2.0142370474207107E7
30                                                1.4319014603117166-4.353066875285412E-15i         1.4319014603117166                                441.99999999999994                                2.035498239085876E7
30                                                1.4335695011035035-5.427050730360488E-13i         1.4335695011035035                                441.99999999999994                                2.0378694176819686E7
