% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 8 2024, 10:34
% Table:              Table 1 - Global Evaluation 2
% daddy (m)                                       Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
4.5600000000000006E-7                             1.4932490315777762                                -2.0575351699933395E7i                            1.4932490315777762                                6.574396008771929E14
4.5800000000000005E-7                             1.4922740242282655+5.742659147274771E-14i         7.87820776818718E-7-2.047212712514583E7i          1.4922740242282655                                6.545686855895196E14
4.5800000000000005E-7                             1.4928638997460628                                -2.0480219477081396E7i                            1.4928638997460628                                6.545686855895196E14
4.5800000000000005E-7                             1.4928780058066107                                -2.0480412994532E7i                               1.4928780058066107                                6.545686855895196E14
4.5800000000000005E-7                             1.4932218741892944                                -2.0485130437260564E7i                            1.4932218741892944                                6.545686855895196E14
4.5800000000000005E-7                             1.493240281708439                                 -2.0485382965325695E7i                            1.493240281708439                                 6.545686855895196E14
4.6000000000000004E-7                             1.492256812800428-4.412931053689201E-15i          -6.027665990899241E-8-2.038288278418758E7i        1.492256812800428                                 6.517227347826086E14
4.6000000000000004E-7                             1.4928517759249                                   -2.0391009444104962E7i                            1.4928517759249                                   6.517227347826086E14
4.6000000000000004E-7                             1.4928660602568946                                -2.0391204555202596E7i                            1.4928660602568946                                6.517227347826086E14
4.6000000000000004E-7                             1.4932128517109466                                -2.0395941413830325E7i                            1.4932128517109466                                6.517227347826086E14
4.6000000000000004E-7                             1.4932314937186026                                -2.039619604684902E7i                             1.4932314937186026                                6.517227347826086E14
4.6200000000000003E-7                             1.492239530175364-3.98023922954487E-14i           -5.413112693968858E-7-2.0294410153226007E7i       1.492239530175364                                 6.489014242424242E14
4.6200000000000003E-7                             1.4928396020483055                                -2.030257111161414E7i                             1.4928396020483055                                6.489014242424242E14
4.6200000000000003E-7                             1.492854066208777                                 -2.0302767823736556E7i                            1.492854066208777                                 6.489014242424242E14
4.6200000000000003E-7                             1.4932037922889603                                -2.0307524087304834E7i                            1.4932037922889603                                6.489014242424242E14
4.6200000000000003E-7                             1.4932226708243732                                -2.030778083478606E7i                             1.4932226708243732                                6.489014242424242E14
4.64E-7                                           1.4922221734042842+3.368827745337228E-14i         4.561846765500388E-7-2.0206699213321954E7i        1.4922221734042842                                6.461044353448275E14
4.64E-7                                           1.4928273749593475                                -2.021489445797423E7i                             1.4928273749593475                                6.461044353448275E14
4.64E-7                                           1.4928420207168263                                -2.021509278126777E7i                             1.4928420207168263                                6.461044353448275E14
4.64E-7                                           1.4931946927659185                                -2.021986843608913E7i                             1.4931946927659185                                6.461044353448275E14
4.64E-7                                           1.4932138100821166                                -2.0220127310313802E7i                            1.4932138100821166                                6.461044353448275E14
4.6600000000000007E-7                             1.492204745465804+7.217905748197554E-15i          9.732068529116297E-8-2.011974019745578E7i         1.492204745465804                                 6.433314549356222E14
